sma_slow,sma_mid,sma_fast,atr,lowside,highside,rsi_filter,k_period,d_period,rsi_period,stoch_period,sma_filter,Drawd,Total trade,PnL,SQN
7,26,800,1,3.4,2.1,1,3,3,11,15,1600,13.403370969490904,144.0,0.0,3.5265632243139633
7,26,800,6,3.4,2.1,1,3,3,11,15,1600,18.07888402219551,146.0,0.0,4.312504925181509
7,26,800,11,3.4,2.1,1,3,3,11,15,1600,23.40851363805905,147.0,0.0,2.901265369122026
7,26,800,16,3.4,2.1,1,3,3,11,15,1600,24.48891280675249,147.0,0.0,2.7571455251151455
7,26,800,21,3.4,2.1,1,3,3,11,15,1600,25.14313395355092,147.0,0.0,2.005666325327744
7,26,800,26,3.4,2.1,1,3,3,11,15,1600,25.58729714186691,146.0,0.0,2.076195789386714
7,26,800,31,3.4,2.1,1,3,3,11,15,1600,25.916867389504347,145.0,0.0,1.9624008058378983
7,26,800,36,3.4,2.1,1,3,3,11,15,1600,24.90699672366036,145.0,0.0,1.8664055068066445
7,26,800,41,3.4,2.1,1,3,3,11,15,1600,25.07439671995477,145.0,0.0,2.0240528926591725
7,26,800,46,3.4,2.1,1,3,3,11,15,1600,21.675110916084904,144.0,0.0,2.1793772353773173
7,26,800,51,3.4,2.1,1,3,3,11,15,1600,21.922106304840042,144.0,0.0,2.1686482275935135
7,26,800,56,3.4,2.1,1,3,3,11,15,1600,22.068979011725656,144.0,0.0,2.160943852530447
7,26,800,61,3.4,2.1,1,3,3,11,15,1600,22.186725248625237,144.0,0.0,2.1566992746659897
7,26,800,66,3.4,2.1,1,3,3,11,15,1600,22.280887001176406,144.0,0.0,2.1549973418563755
7,26,800,71,3.4,2.1,1,3,3,11,15,1600,19.86948968815238,144.0,0.0,2.6114145959210084
7,26,800,76,3.4,2.1,1,3,3,11,15,1600,19.88676913170625,143.0,0.0,2.496858489177498
7,26,800,81,3.4,2.1,1,3,3,11,15,1600,22.243679063968028,144.0,0.0,2.3632875931248205
7,26,800,86,3.4,2.1,1,3,3,11,15,1600,22.251646055523377,144.0,0.0,2.3593633887116465
7,26,800,91,3.4,2.1,1,3,3,11,15,1600,22.25911703595077,144.0,0.0,2.3563294212572474
7,26,800,96,3.4,2.1,1,3,3,11,15,1600,22.266368376553825,144.0,0.0,2.35403204779385
7,26,800,101,3.4,2.1,1,3,3,11,15,1600,22.273591968135246,144.0,0.0,2.35234568627504
7,26,800,106,3.4,2.1,1,3,3,11,15,1600,22.280916681844268,143.0,0.0,3.0122687329091598
7,26,800,111,3.4,2.1,1,3,3,11,15,1600,22.28842482655436,143.0,0.0,3.012854325750451
7,26,800,116,3.4,2.1,1,3,3,11,15,1600,22.29616467916453,143.0,0.0,3.0134830398016046
7,26,800,121,3.4,2.1,1,3,3,11,15,1600,22.304159972266138,143.0,0.0,3.014107854963892
7,26,800,126,3.4,2.1,1,3,3,11,15,1600,22.31241704272541,143.0,0.0,3.014693945084987
7,26,800,131,3.4,2.1,1,3,3,11,15,1600,22.320930190679704,143.0,0.0,3.015215989104676
7,26,800,136,3.4,2.1,1,3,3,11,15,1600,22.329685673523777,143.0,0.0,3.0156560468372087
7,26,800,141,3.4,2.1,1,3,3,11,15,1600,22.338664661107376,143.0,0.0,3.0160018801022077
7,26,800,146,3.4,2.1,1,3,3,11,15,1600,22.347845401504173,143.0,0.0,3.016245628684703
7,26,800,151,3.4,2.1,1,3,3,11,15,1600,22.357204788162765,143.0,0.0,3.0163827667507195
7,26,800,156,3.4,2.1,1,3,3,11,15,1600,22.36671947433922,143.0,0.0,3.0164112819137405
7,26,800,161,3.4,2.1,1,3,3,11,15,1600,22.376366645796555,143.0,0.0,3.0163310327132806
7,26,800,166,3.4,2.1,1,3,3,11,15,1600,22.386124538253934,143.0,0.0,3.0161432452536188
7,26,800,171,3.4,2.1,1,3,3,11,15,1600,22.395972761242675,143.0,0.0,3.0158501269944216
7,26,800,176,3.4,2.1,1,3,3,11,15,1600,22.405892480049562,143.0,0.0,3.015454567578608
7,26,800,181,3.4,2.1,1,3,3,11,15,1600,22.41586649700492,143.0,0.0,3.014959906516766
7,26,800,186,3.4,2.1,1,3,3,11,15,1600,22.425879255160318,143.0,0.0,3.0143697610952436
7,26,800,191,3.4,2.1,1,3,3,11,15,1600,22.43591679384383,143.0,0.0,3.0136878941471936
7,26,800,196,3.4,2.1,1,3,3,11,15,1600,22.44596666364329,143.0,0.0,3.0129181207110864
7,26,950,1,3.4,2.1,1,3,3,11,15,1600,13.403370969490904,142.0,0.0,3.883955621719565
7,26,950,6,3.4,2.1,1,3,3,11,15,1600,13.001670072277411,143.0,0.0,4.409036134579049
7,26,950,11,3.4,2.1,1,3,3,11,15,1600,19.57558939959975,144.0,0.0,3.031535425518373
7,26,950,16,3.4,2.1,1,3,3,11,15,1600,20.21276102566075,144.0,0.0,2.8921962651226867
7,26,950,21,3.4,2.1,1,3,3,11,15,1600,20.61353079694688,144.0,0.0,2.1328341550558148
7,26,950,26,3.4,2.1,1,3,3,11,15,1600,20.861062359755447,143.0,0.0,2.1996025188929416
7,26,950,31,3.4,2.1,1,3,3,11,15,1600,21.019901160909793,142.0,0.0,2.0826291898418314
7,26,950,36,3.4,2.1,1,3,3,11,15,1600,21.124919678143502,142.0,0.0,1.9809214206196755
7,26,950,41,3.4,2.1,1,3,3,11,15,1600,21.193483069287808,142.0,0.0,2.1345194151565328
7,26,950,46,3.4,2.1,1,3,3,11,15,1600,17.515134629621723,141.0,0.0,2.2833417431077256
7,26,950,51,3.4,2.1,1,3,3,11,15,1600,17.44636366527185,141.0,0.0,2.2695643767535416
7,26,950,56,3.4,2.1,1,3,3,11,15,1600,17.455809888210556,141.0,0.0,2.2591175999702173
7,26,950,61,3.4,2.1,1,3,3,11,15,1600,17.480323891761127,141.0,0.0,2.2524492526150763
7,26,950,66,3.4,2.1,1,3,3,11,15,1600,17.496120664876774,141.0,0.0,2.248610036384521
7,26,950,71,3.4,2.1,1,3,3,11,15,1600,17.505822119963447,141.0,0.0,2.6940284523158526
7,26,950,76,3.4,2.1,1,3,3,11,15,1600,17.511334612702154,140.0,0.0,2.5789197541961277
7,26,950,81,3.4,2.1,1,3,3,11,15,1600,18.64190907276853,141.0,0.0,2.447904900112617
7,26,950,86,3.4,2.1,1,3,3,11,15,1600,18.651380723156237,141.0,0.0,2.4427766124018753
7,26,950,91,3.4,2.1,1,3,3,11,15,1600,18.656855672686103,141.0,0.0,2.438712656361528
7,26,950,96,3.4,2.1,1,3,3,11,15,1600,18.65920444364251,141.0,0.0,2.435541953606484
7,26,950,101,3.4,2.1,1,3,3,11,15,1600,18.65910730730025,141.0,0.0,2.4331228124604167
7,26,950,106,3.4,2.1,1,3,3,11,15,1600,18.657098787981017,140.0,0.0,3.102670487649431
7,26,950,111,3.4,2.1,1,3,3,11,15,1600,18.65360103769655,140.0,0.0,3.1028361786856316
7,26,950,116,3.4,2.1,1,3,3,11,15,1600,18.64894902826462,140.0,0.0,3.1031449972642964
7,26,950,121,3.4,2.1,1,3,3,11,15,1600,18.643409696373094,140.0,0.0,3.1035380686118943
7,26,950,126,3.4,2.1,1,3,3,11,15,1600,18.637196592092522,140.0,0.0,3.103969851261217
7,26,950,131,3.4,2.1,1,3,3,11,15,1600,18.630481160838755,140.0,0.0,3.104405372137239
7,26,950,136,3.4,2.1,1,3,3,11,15,1600,18.62340148648957,140.0,0.0,3.104818024787093
7,26,950,141,3.4,2.1,1,3,3,11,15,1600,18.61606910587475,140.0,0.0,3.1051878131736377
7,26,950,146,3.4,2.1,1,3,3,11,15,1600,18.60857434721816,140.0,0.0,3.1054999519083193
7,26,950,151,3.4,2.1,1,3,3,11,15,1600,18.600990531261477,140.0,0.0,3.105743749739588
7,26,950,156,3.4,2.1,1,3,3,11,15,1600,18.59337729056312,140.0,0.0,3.105911719322407
7,26,950,161,3.4,2.1,1,3,3,11,15,1600,18.585783200614195,140.0,0.0,3.105998869519795
7,26,950,166,3.4,2.1,1,3,3,11,15,1600,18.57824787278521,140.0,0.0,3.106002141369326
7,26,950,171,3.4,2.1,1,3,3,11,15,1600,18.570803620179582,140.0,0.0,3.1059199655941403
7,26,950,176,3.4,2.1,1,3,3,11,15,1600,18.563476787442674,140.0,0.0,3.1057519117245196
7,26,950,181,3.4,2.1,1,3,3,11,15,1600,18.556288817455705,140.0,0.0,3.1054984085746007
