sma_slow,sma_mid,sma_fast,atr,lowside,highside,rsi_filter,k_period,d_period,rsi_period,stoch_period,sma_filter,Drawd,Total trade,PnL,SQN
18,8,850,5,3.4,2.1,1,3,3,11,15,1600,0.765436286,7,0,7.43275206
18,8,900,5,3.4,2.1,1,3,3,11,15,1600,0.765436286,6,0,6.917784836
18,8,950,5,3.4,2.1,1,3,3,11,15,1600,0.765436286,6,0,6.917784836
16,29,650,5,3.4,2.1,1,3,3,11,15,1600,21.33319226,167.5,0,4.833921964
16,29,600,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,166.5,0,4.798053411
16,26,700,5,3.4,2.1,1,3,3,11,15,1600,21.33319226,166.5,0,4.785453037
16,29,700,5,3.4,2.1,1,3,3,11,15,1600,21.33319226,166.5,0,4.785453037
16,29,800,5,3.4,2.1,1,3,3,11,15,1600,15.78500858,161.5,0,4.784668768
16,26,550,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,171.5,0,4.777263354
16,29,500,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,171.5,0,4.777263354
18,23,550,5,3.4,2.1,1,3,3,11,15,1600,25.74348678,177.5,0,4.77516911
18,26,700,5,3.4,2.1,1,3,3,11,15,1600,24.56520132,170.5,0,4.768239254
16,26,850,5,3.4,2.1,1,3,3,11,15,1600,15.78500858,163.5,0,4.74958709
6,14,500,5,3.4,2.1,1,3,3,11,15,1600,16.33561609,160,0,4.742067113
18,29,650,5,3.4,2.1,1,3,3,11,15,1600,22.02035628,166.5,0,4.741211192
18,26,850,5,3.4,2.1,1,3,3,11,15,1600,19.24496359,167.5,0,4.733595345
6,8,550,5,3.4,2.1,1,3,3,11,15,1600,16.8957191,165,0,4.725513425
16,23,550,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,173.5,0,4.725054635
16,29,750,5,3.4,2.1,1,3,3,11,15,1600,19.21855445,164.5,0,4.709114308
18,26,550,5,3.4,2.1,1,3,3,11,15,1600,25.74348678,176.5,0,4.705527101
16,26,950,5,3.4,2.1,1,3,3,11,15,1600,11.96150923,161.5,0,4.704941665
6,11,550,5,3.4,2.1,1,3,3,11,15,1600,16.33561609,165,0,4.704257488
18,20,550,5,3.4,2.1,1,3,3,11,15,1600,25.74348678,179.5,0,4.695195531
16,17,550,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,176.5,0,4.694809448
18,29,800,5,3.4,2.1,1,3,3,11,15,1600,16.52063665,160.5,0,4.694253053
18,29,700,5,3.4,2.1,1,3,3,11,15,1600,22.02035628,165.5,0,4.692754346
18,26,950,5,3.4,2.1,1,3,3,11,15,1600,15.5785519,165.5,0,4.688942218
16,26,900,5,3.4,2.1,1,3,3,11,15,1600,13.32623525,160.5,0,4.672732809
16,29,900,5,3.4,2.1,1,3,3,11,15,1600,13.32623525,160.5,0,4.672732809
16,29,550,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,169.5,0,4.670865155
16,29,850,5,3.4,2.1,1,3,3,11,15,1600,15.78500858,162.5,0,4.668247901
18,26,900,5,3.4,2.1,1,3,3,11,15,1600,16.88720844,164.5,0,4.656671735
18,29,900,5,3.4,2.1,1,3,3,11,15,1600,14.083341,160.5,0,4.654462265
18,29,600,5,3.4,2.1,1,3,3,11,15,1600,23.23839201,166.5,0,4.645638785
6,29,800,5,3.4,2.1,1,3,3,11,15,1600,11.76583387,140,0,4.633019479
18,29,500,5,3.4,2.1,1,3,3,11,15,1600,23.23839201,171.5,0,4.632597537
16,26,800,5,3.4,2.1,1,3,3,11,15,1600,19.21855445,164.5,0,4.631409551
16,29,950,5,3.4,2.1,1,3,3,11,15,1600,11.96150923,160.5,0,4.622954247
16,20,550,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,175.5,0,4.61968727
18,29,750,5,3.4,2.1,1,3,3,11,15,1600,19.92419008,163.5,0,4.618581644
18,26,800,5,3.4,2.1,1,3,3,11,15,1600,22.53744295,168.5,0,4.615744172
18,29,950,5,3.4,2.1,1,3,3,11,15,1600,12.73053603,160.5,0,4.604972657
16,17,500,5,3.4,2.1,1,3,3,11,15,1600,21.28731103,180.5,0,4.598502712
8,11,550,5,3.4,2.1,1,3,3,11,15,1600,20.76292207,174,0,4.593649719
16,26,750,5,3.4,2.1,1,3,3,11,15,1600,21.33319226,167.5,0,4.592937616
6,14,550,5,3.4,2.1,1,3,3,11,15,1600,16.33561609,158,0,4.578905231
18,26,750,5,3.4,2.1,1,3,3,11,15,1600,24.56520132,171.5,0,4.577402352
18,29,850,5,3.4,2.1,1,3,3,11,15,1600,16.52063665,161.5,0,4.577217098
18,20,600,5,3.4,2.1,1,3,3,11,15,1600,25.74348678,178.5,0,4.576332782
16,17,600,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,175.5,0,4.57239008
14,26,550,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,170.5,0,4.556247833
6,17,500,5,3.4,2.1,1,3,3,11,15,1600,16.33561609,157,0,4.546511606
8,29,800,5,3.4,2.1,1,3,3,11,15,1600,11.01041898,149,0,4.543130608
14,26,700,5,3.4,2.1,1,3,3,11,15,1600,21.33319226,165.5,0,4.534680468
6,29,650,5,3.4,2.1,1,3,3,11,15,1600,16.17314332,144,0,4.534280755
6,29,700,5,3.4,2.1,1,3,3,11,15,1600,16.17314332,144,0,4.534280755
16,26,500,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,172.5,0,4.532882623
6,29,500,5,3.4,2.1,1,3,3,11,15,1600,17.48251205,149,0,4.53195933
18,23,500,5,3.4,2.1,1,3,3,11,15,1600,25.74348678,178.5,0,4.530889232
6,29,950,5,3.4,2.1,1,3,3,11,15,1600,11.24214444,138,0,4.526213827
18,29,550,5,3.4,2.1,1,3,3,11,15,1600,23.23839201,169.5,0,4.525111354
18,23,600,5,3.4,2.1,1,3,3,11,15,1600,25.74348678,173.5,0,4.519884011
6,11,600,5,3.4,2.1,1,3,3,11,15,1600,16.33561609,162,0,4.517865331
14,29,650,5,3.4,2.1,1,3,3,11,15,1600,21.33319226,165.5,0,4.516271174
14,26,850,5,3.4,2.1,1,3,3,11,15,1600,15.78500858,162.5,0,4.515921834
6,8,600,5,3.4,2.1,1,3,3,11,15,1600,16.8957191,164,0,4.506585756
14,17,550,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,173.5,0,4.504846878
14,20,550,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,173.5,0,4.504846878
8,26,850,5,3.4,2.1,1,3,3,11,15,1600,11.01041898,151,0,4.503362935
18,23,700,5,3.4,2.1,1,3,3,11,15,1600,24.56520132,172.5,0,4.503180609
6,29,900,5,3.4,2.1,1,3,3,11,15,1600,11.24214444,139,0,4.49845506
16,20,600,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,174.5,0,4.497085124
14,29,500,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,169.5,0,4.490201721
6,29,600,5,3.4,2.1,1,3,3,11,15,1600,17.48251205,143,0,4.488917438
10,26,700,5,3.4,2.1,1,3,3,11,15,1600,17.21725299,158,0,4.486484872
14,29,800,5,3.4,2.1,1,3,3,11,15,1600,15.78500858,159.5,0,4.486387064
6,29,850,5,3.4,2.1,1,3,3,11,15,1600,11.76583387,141,0,4.485068493
16,23,500,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,174.5,0,4.483085864
6,29,750,5,3.4,2.1,1,3,3,11,15,1600,13.91979854,141,0,4.478300264
14,29,600,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,164.5,0,4.476532356
6,29,550,5,3.4,2.1,1,3,3,11,15,1600,17.48251205,148,0,4.474248317
14,29,700,5,3.4,2.1,1,3,3,11,15,1600,21.33319226,164.5,0,4.467816101
16,23,600,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,169.5,0,4.465277961
18,26,500,5,3.4,2.1,1,3,3,11,15,1600,25.74348678,177.5,0,4.465257546
10,11,550,5,3.4,2.1,1,3,3,11,15,1600,20.76292207,176,0,4.4608069
8,26,700,5,3.4,2.1,1,3,3,11,15,1600,17.21725299,153,0,4.459191554
8,29,650,5,3.4,2.1,1,3,3,11,15,1600,17.21725299,153,0,4.459191554
8,29,700,5,3.4,2.1,1,3,3,11,15,1600,17.21725299,153,0,4.459191554
18,20,500,5,3.4,2.1,1,3,3,11,15,1600,25.74348678,180.5,0,4.455797042
16,26,650,5,3.4,2.1,1,3,3,11,15,1600,21.33319226,167.5,0,4.453039017
18,23,650,5,3.4,2.1,1,3,3,11,15,1600,24.56520132,173.5,0,4.447699128
14,26,900,5,3.4,2.1,1,3,3,11,15,1600,13.32623525,159.5,0,4.435767625
14,26,950,5,3.4,2.1,1,3,3,11,15,1600,13.32623525,159.5,0,4.435767625
14,23,550,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,172.5,0,4.429476541
8,26,900,5,3.4,2.1,1,3,3,11,15,1600,11.24214444,148,0,4.424104915
8,26,950,5,3.4,2.1,1,3,3,11,15,1600,11.24214444,148,0,4.424104915
8,29,900,5,3.4,2.1,1,3,3,11,15,1600,11.24214444,148,0,4.424104915
14,17,500,5,3.4,2.1,1,3,3,11,15,1600,21.28731103,177.5,0,4.420563088
8,11,600,5,3.4,2.1,1,3,3,11,15,1600,20.76292207,171,0,4.420045666
8,29,600,5,3.4,2.1,1,3,3,11,15,1600,18.51031281,152,0,4.419500984
16,26,600,5,3.4,2.1,1,3,3,11,15,1600,22.56196144,166.5,0,4.417561074
6,17,550,5,3.4,2.1,1,3,3,11,15,1600,16.33561609,155,0,4.415059016
8,29,850,5,3.4,2.1,1,3,3,11,15,1600,11.24214444,150,0,4.413348891
16,17,950,5,3.4,2.1,1,3,3,11,15,1600,14.60460152,168.5,0,4.411110044
8,26,750,5,3.4,2.1,1,3,3,11,15,1600,17.21725299,153,0,4.409880775
10,29,650,5,3.4,2.1,1,3,3,11,15,1600,17.21725299,157,0,4.409732057
10,29,700,5,3.4,2.1,1,3,3,11,15,1600,17.21725299,157,0,4.409732057
8,29,750,5,3.4,2.1,1,3,3,11,15,1600,14.99197485,150,0,4.40875941
10,14,500,5,3.4,2.1,1,3,3,11,15,1600,20.76292207,172,0,4.406892259
14,29,750,5,3.4,2.1,1,3,3,11,15,1600,19.21855445,162.5,0,4.405899841
10,23,550,5,3.4,2.1,1,3,3,11,15,1600,18.51031281,161,0,4.400603944
10,26,550,5,3.4,2.1,1,3,3,11,15,1600,18.51031281,161,0,4.400603944
8,14,500,5,3.4,2.1,1,3,3,11,15,1600,20.76292207,170,0,4.397680518
16,23,650,5,3.4,2.1,1,3,3,11,15,1600,21.33319226,169.5,0,4.390384139
16,23,700,5,3.4,2.1,1,3,3,11,15,1600,21.33319226,169.5,0,4.390384139
14,26,800,5,3.4,2.1,1,3,3,11,15,1600,19.21855445,163.5,0,4.388294424
