sma_slow,sma_mid,sma_fast,atr,lowside,highside,rsi_filter,k_period,d_period,rsi_period,stoch_period,sma_filter,Drawd,Total trade,PnL,SQN
9,10,300,8,4,2,12,3,3,16,7,350,7.700413221,87,0,2.633679262
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.632386323
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.632386323
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.63191762
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.631612706
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.631612706
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.631612706
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.631483405
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.631483405
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.631297611
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.631004805
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.631004805
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.63099806
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630824684
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630824684
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630413184
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630345814
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.630345814
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.629753427
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.629753427
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.629592047
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.629592047
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.629592047
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.629592047
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.629592047
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.629592047
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.629592047
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.629592047
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.629165457
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.629165457
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.629112722
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.629112722
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.628622313
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.628610054
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.628610054
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.628610054
9,10,300,8,4,2,12,3,3,16,7,350,7.306041384,87,0,2.628610054
