sma_slow,sma_mid,sma_fast,atr,lowside,highside,rsi_filter,k_period,d_period,rsi_period,stoch_period,sma_filter,Drawd,Total trade,PnL,SQN
7,26,800,1,3.4,2.1,1,2,2,11,15,1600,23.56170942,167.5,0,0.205141787
7,26,800,1,3.4,2.1,1,2,5,11,15,1600,17.43857856,135,0,2.867453366
7,26,800,1,3.4,2.1,1,2,8,11,15,1600,15.66363934,102.5,0,1.169046795
7,26,800,1,3.4,2.1,1,2,11,11,15,1600,42.93662967,102,0,-1.36289697
7,26,800,1,3.4,2.1,1,2,14,11,15,1600,35.00407366,82,0,-0.61073588
7,26,800,1,3.4,2.1,1,2,17,11,15,1600,34.87896566,79,0,-0.401015809
7,26,800,1,3.4,2.1,1,2,20,11,15,1600,45.32386393,77,0,-0.485377977
7,26,800,1,3.4,2.1,1,2,23,11,15,1600,43.39712719,83,0,-0.422266962
15,26,800,7,3.4,2.1,3,17,26,11,15,1600,6.951850277,26,0,3.230611363
7,26,800,1,3.4,2.1,1,2,29,11,15,1600,34.97489535,81,0,-0.877266988
7,26,800,1,3.4,2.1,1,5,2,11,15,1600,16.82768475,91,0,0.918759036
7,26,800,1,3.4,2.1,1,5,5,11,15,1600,37.93196529,132.5,0,-0.491497154
7,26,800,1,3.4,2.1,1,5,8,11,15,1600,42.51307324,109.5,0,-0.3169711
7,26,800,1,3.4,2.1,1,5,11,11,15,1600,26.76229456,97,0,0.740946309
7,26,800,1,3.4,2.1,1,5,14,11,15,1600,26.81002183,92,0,0.662913024
7,26,800,1,3.4,2.1,1,5,17,11,15,1600,41.42046365,95,0,-0.098343604
7,26,800,1,3.4,2.1,1,5,20,11,15,1600,35.63603438,88,0,0.217616175
7,26,800,1,3.4,2.1,1,5,23,11,15,1600,20.29488466,88,0,0.413303698
15,29,800,7,3.4,2.1,3,17,26,11,15,1600,6.951850277,26,0,3.230611363
7,26,800,1,3.4,2.1,1,5,29,11,15,1600,19.51482258,90,0,0.024758815
7,26,800,1,3.4,2.1,1,8,2,11,15,1600,19.56849777,103.5,0,1.277747934
7,26,800,1,3.4,2.1,1,8,5,11,15,1600,22.11749035,100,0,1.152650707
7,26,800,1,3.4,2.1,1,8,8,11,15,1600,18.77555684,101,0,0.977272627
7,26,800,1,3.4,2.1,1,8,11,11,15,1600,35.32369316,93,0,-1.454189482
7,26,800,1,3.4,2.1,1,8,14,11,15,1600,32.43838085,97,0,0.585406814
7,26,800,1,3.4,2.1,1,8,17,11,15,1600,10.18349192,102,0,2.072367944
7,26,800,1,3.4,2.1,1,8,20,11,15,1600,17.81585308,99,0,1.116499963
7,26,800,1,3.4,2.1,1,8,23,11,15,1600,28.05309095,96,0,-0.977575463
15,26,800,6,3.4,2.1,3,17,26,11,15,1600,6.969197461,26,0,3.221377285
7,26,800,1,3.4,2.1,1,8,29,11,15,1600,35.83070344,96,0,-0.644575706
7,26,800,1,3.4,2.1,1,11,2,11,15,1600,12.36017966,81,0,2.04304798
7,26,800,1,3.4,2.1,1,11,5,11,15,1600,20.73560341,96,0,1.247839722
7,26,800,1,3.4,2.1,1,11,8,11,15,1600,32.66944703,98,0,0.610217584
7,26,800,1,3.4,2.1,1,11,11,11,15,1600,9.040022514,91,0,3.026375345
7,26,800,1,3.4,2.1,1,11,14,11,15,1600,21.88194981,96,0,-1.031125897
7,26,800,1,3.4,2.1,1,11,17,11,15,1600,44.19236814,96,0,-1.228759933
7,26,800,1,3.4,2.1,1,11,20,11,15,1600,40.78267182,105,0,-0.857683502
7,26,800,1,3.4,2.1,1,11,23,11,15,1600,34.97123142,101,0,-0.498171959
15,29,800,6,3.4,2.1,3,17,26,11,15,1600,6.969197461,26,0,3.221377285
7,26,800,1,3.4,2.1,1,11,29,11,15,1600,52.2339602,92,0,-2.278343489
7,26,800,1,3.4,2.1,1,14,2,11,15,1600,46.91564657,97,0,-1.261105555
7,26,800,1,3.4,2.1,1,14,5,11,15,1600,35.76489323,91,0,-1.04945798
7,26,800,1,3.4,2.1,1,14,8,11,15,1600,25.81154516,89,0,-0.225891567
7,26,800,1,3.4,2.1,1,14,11,11,15,1600,41.7352483,88,0,-1.314029727
7,26,800,1,3.4,2.1,1,14,14,11,15,1600,44.71303287,90,0,-1.336382297
7,26,800,1,3.4,2.1,1,14,17,11,15,1600,31.28046893,84,0,-1.487960721
7,26,800,1,3.4,2.1,1,14,20,11,15,1600,22.70890838,76,0,-0.468521179
7,26,800,1,3.4,2.1,1,14,23,11,15,1600,11.56726419,83,0,0.745893426
15,26,800,5,3.4,2.1,3,17,26,11,15,1600,6.992970752,26,0,3.210316908
7,26,800,1,3.4,2.1,1,14,29,11,15,1600,22.11421374,78,0,0.196498885
7,26,800,1,3.4,2.1,1,17,2,11,15,1600,19.53037219,85,0,-0.180585893
7,26,800,1,3.4,2.1,1,17,5,11,15,1600,37.75141132,86,0,-0.760211474
7,26,800,1,3.4,2.1,1,17,8,11,15,1600,52.16927085,91,0,-1.712717194
7,26,800,1,3.4,2.1,1,17,11,11,15,1600,24.13758309,77,0,-0.871561645
7,26,800,1,3.4,2.1,1,17,14,11,15,1600,12.83337652,75,0,-0.150121528
7,26,800,1,3.4,2.1,1,17,17,11,15,1600,15.82949808,72,0,-0.136062747
7,26,800,1,3.4,2.1,1,17,20,11,15,1600,13.53954443,74,0,0.400338588
7,26,800,1,3.4,2.1,1,17,23,11,15,1600,41.02373971,77,0,-0.924581281
15,29,800,5,3.4,2.1,3,17,26,11,15,1600,6.992970752,26,0,3.210316908
7,26,800,1,3.4,2.1,1,17,29,11,15,1600,37.61783302,69,0,-0.733964594
7,26,800,1,3.4,2.1,1,20,2,11,15,1600,11.94800938,76,0,1.138853499
7,26,800,1,3.4,2.1,1,20,5,11,15,1600,28.21739986,87,0,-0.083470222
7,26,800,1,3.4,2.1,1,20,8,11,15,1600,64.7381842,89,0,-1.77543078
7,26,800,1,3.4,2.1,1,20,11,11,15,1600,27.41348884,85,0,-0.566349297
7,26,800,1,3.4,2.1,1,20,14,11,15,1600,29.14339785,59,0,-1.16340628
7,26,800,1,3.4,2.1,1,20,17,11,15,1600,30.92318356,68,0,-0.557078392
7,26,800,1,3.4,2.1,1,20,20,11,15,1600,24.99241681,66,0,-0.136897614
7,26,800,1,3.4,2.1,1,20,23,11,15,1600,34.81260614,65,0,-0.943754522
15,26,950,5,3.4,2.1,3,23,26,11,15,1600,6.62933824,24,0,3.13070852
7,26,800,1,3.4,2.1,1,20,29,11,15,1600,17.64114957,73,0,0.598112047
7,26,800,1,3.4,2.1,1,23,2,11,15,1600,34.34287803,92,0,-1.061232519
7,26,800,1,3.4,2.1,1,23,5,11,15,1600,31.90013715,99,0,-0.349579728
7,26,800,1,3.4,2.1,1,23,8,11,15,1600,33.56806285,89,0,-1.309497774
7,26,800,1,3.4,2.1,1,23,11,11,15,1600,21.18850907,76,0,0.320878097
7,26,800,1,3.4,2.1,1,23,14,11,15,1600,20.98452687,75,0,-0.044217414
7,26,800,1,3.4,2.1,1,23,17,11,15,1600,29.17885421,73,0,0.148799954
7,26,800,1,3.4,2.1,1,23,20,11,15,1600,31.40264759,79,0,-0.504694704
7,26,800,1,3.4,2.1,1,23,23,11,15,1600,35.73487026,67,0,-1.003666197
15,29,950,5,3.4,2.1,3,23,26,11,15,1600,6.62933824,24,0,3.13070852
7,26,800,1,3.4,2.1,1,23,29,11,15,1600,33.44679307,79,0,-0.639520326
7,26,800,1,3.4,2.1,1,26,2,11,15,1600,31.56184013,101,0,0.2687085
7,26,800,1,3.4,2.1,1,26,5,11,15,1600,37.26216907,99,0,-0.656153375
7,26,800,1,3.4,2.1,1,26,8,11,15,1600,35.42910225,87,0,-0.656947691
7,26,800,1,3.4,2.1,1,26,11,11,15,1600,30.39992012,81,0,0.272891597
7,26,800,1,3.4,2.1,1,26,14,11,15,1600,36.44823492,74,0,-0.376680218
7,26,800,1,3.4,2.1,1,26,17,11,15,1600,30.30887951,81,0,0.14094268
7,26,800,1,3.4,2.1,1,26,20,11,15,1600,29.19292097,83,0,-0.754133489
7,26,800,1,3.4,2.1,1,26,23,11,15,1600,27.33513984,77,0,-1.51859632
15,26,800,7,3.4,2.1,5,17,26,11,15,1600,3.959169407,10,0,2.757627592
7,26,800,1,3.4,2.1,1,26,29,11,15,1600,33.20428348,59,0,-0.787807214
7,26,800,1,3.4,2.1,1,29,2,11,15,1600,53.81395232,94,0,-1.762851246
7,26,800,1,3.4,2.1,1,29,5,11,15,1600,34.6521447,109,0,-0.367768273
7,26,800,1,3.4,2.1,1,29,8,11,15,1600,42.59875356,93,0,-1.059707231
7,26,800,1,3.4,2.1,1,29,11,11,15,1600,43.67131915,81,0,-2.259020304
7,26,800,1,3.4,2.1,1,29,14,11,15,1600,18.31342716,82,0,0.624745688
7,26,800,1,3.4,2.1,1,29,17,11,15,1600,20.18498194,80,0,0.723813709
7,26,800,1,3.4,2.1,1,29,20,11,15,1600,17.01621097,84,0,0.225991657
7,26,800,1,3.4,2.1,1,29,23,11,15,1600,49.93276142,41.5,0,-1.212893501
15,29,800,7,3.4,2.1,5,17,26,11,15,1600,3.959169407,10,0,2.757627592
7,26,800,1,3.4,2.1,1,29,29,11,15,1600,21.75222425,69,0,-0.354082961
7,26,800,1,3.4,2.1,3,2,2,11,15,1600,8.00067348,35,0,0.124179886
