sma_slow,sma_mid,sma_fast,atr,lowside,highside,rsi_filter,k_period,d_period,rsi_period,stoch_period,sma_filter,Drawd,Total trade,PnL,SQN
9,10,300,8,4,2,12,3,3,16,7,350,28.23987941,220,0,1.277459011
9,10,300,8,4,2,12,3,3,16,7,350,19.4399581,223,0,1.23994806
9,10,300,8,4,2,12,3,3,16,7,350,24.36828792,223,0,1.214706387
9,10,300,8,4,2,12,3,3,16,7,350,23.83784755,217,0,1.214129211
9,10,300,8,4,2,12,3,3,16,7,350,28.22085546,218,0,1.213917544
9,10,300,8,4,2,12,3,3,16,7,350,23.34509656,220,0,1.164077464
9,10,300,8,4,2,12,3,3,16,7,350,29.41128083,220,0,1.150311716
9,10,300,8,4,2,12,3,3,16,7,350,25.96653588,223,0,1.149970129
9,10,300,8,4,2,12,3,3,16,7,350,33.87602931,218,0,1.146923838
9,10,300,8,4,2,12,3,3,16,7,350,24.39475176,229,0,1.137977952
9,10,300,8,4,2,12,3,3,16,7,350,25.65129875,230,0,1.137364707
9,10,300,8,4,2,12,3,3,16,7,350,31.58304755,222,0,1.130854837
9,10,300,8,4,2,12,3,3,16,7,350,25.41912143,214,0,1.129672213
9,10,300,8,4,2,12,3,3,16,7,350,29.95155383,221,0,1.118286566
9,10,300,8,4,2,12,3,3,16,7,350,25.99953833,229,0,1.117190232
9,10,300,8,4,2,12,3,3,16,7,350,29.6991074,220,0,1.107659695
9,10,300,8,4,2,12,3,3,16,7,350,25.77257164,231,0,1.098167143
9,10,300,8,4,2,12,3,3,16,7,350,29.44425251,221,0,1.092702662
9,10,300,8,4,2,12,3,3,16,7,350,29.26654358,215,0,1.091396617
9,10,300,8,4,2,12,3,3,16,7,350,28.96826674,229,0,1.089666602
9,10,300,8,4,2,12,3,3,16,7,350,24.43713876,231,0,1.082412167
9,10,300,8,4,2,12,3,3,16,7,350,26.79658522,219,0,1.077241671
9,10,300,8,4,2,12,3,3,16,7,350,24.29873741,218,0,1.060363868
9,10,300,8,4,2,12,3,3,16,7,350,34.1610919,219,0,1.05697357
9,10,300,8,4,2,12,3,3,16,7,350,27.81720876,228,0,1.05527185
9,10,300,8,4,2,12,3,3,16,7,350,27.0136228,215,0,1.050415138
9,10,300,8,4,2,12,3,3,16,7,350,30.39070592,230,0,1.047478053
9,10,300,8,4,2,12,3,3,16,7,350,30.92316634,227,0,1.046508931
9,10,300,8,4,2,12,3,3,16,7,350,29.1583538,229,0,1.037842484
9,10,300,8,4,2,12,3,3,16,7,350,21.99354048,216,0,1.037013765
9,10,300,8,4,2,12,3,3,16,7,350,24.16820527,230,0,1.034135705
9,10,300,8,4,2,12,3,3,16,7,350,31.18336565,231,0,1.031110455
9,10,300,8,4,2,12,3,3,16,7,350,31.29179126,216,0,1.025056969
9,10,300,8,4,2,12,3,3,16,7,350,34.23996651,213,0,1.02470606
9,10,300,8,4,2,12,3,3,16,7,350,27.7612191,227,0,1.02235223
9,10,300,8,4,2,12,3,3,16,7,350,30.93684367,217,0,1.02234762
9,10,300,8,4,2,12,3,3,16,7,350,35.29705423,217,0,1.018613525
9,10,300,8,4,2,12,3,3,16,7,350,30.29509176,215,0,1.017183589
9,10,300,8,4,2,12,3,3,16,7,350,25.11967728,217,0,1.017180346
9,10,300,8,4,2,12,3,3,16,7,350,19.7091011,223,0,1.016913991
9,10,300,8,4,2,12,3,3,16,7,350,28.45458678,228,0,1.016512823
9,10,300,8,4,2,12,3,3,16,7,350,20.10893219,223,0,1.006966036
9,10,300,8,4,2,12,3,3,16,7,350,28.21625802,224,0,1.00003867
9,10,300,8,4,2,12,3,3,16,7,350,27.60858528,228,0,0.999531874
9,10,300,8,4,2,12,3,3,16,7,350,33.66609308,231,0,0.991964488
9,10,300,8,4,2,12,3,3,16,7,350,26.05857276,229,0,0.986759071
9,10,300,8,4,2,12,3,3,16,7,350,25.68290057,226,0,0.986430577
9,10,300,8,4,2,12,3,3,16,7,350,28.74596728,226,0,0.985517539
9,10,300,8,4,2,12,3,3,16,7,350,28.16178948,227,0,0.984289858
9,10,300,8,4,2,12,3,3,16,7,350,27.12719032,227,0,0.984177614
9,10,300,8,4,2,12,3,3,16,7,350,25.66241002,230,0,0.981224649
9,10,300,8,4,2,12,3,3,16,7,350,29.3774957,220,0,0.976063144
9,10,300,8,4,2,12,3,3,16,7,350,27.90441076,230,0,0.974927255
9,10,300,8,4,2,12,3,3,16,7,350,27.4898358,223,0,0.973801554
9,10,300,8,4,2,12,3,3,16,7,350,28.22041375,227,0,0.972324423
9,10,300,8,4,2,12,3,3,16,7,350,28.63585469,218,0,0.969845565
9,10,300,8,4,2,12,3,3,16,7,350,27.59864349,219,0,0.969671281
9,10,300,8,4,2,12,3,3,16,7,350,33.83218549,228,0,0.964609404
9,10,300,8,4,2,12,3,3,16,7,350,25.87519244,228,0,0.951416913
9,10,300,8,4,2,12,3,3,16,7,350,28.76332212,224,0,0.946125902
9,10,300,8,4,2,12,3,3,16,7,350,22.35847857,223,0,0.944795132
9,10,300,8,4,2,12,3,3,16,7,350,23.20366405,223,0,0.944764665
9,10,300,8,4,2,12,3,3,16,7,350,27.99282681,215,0,0.94223351
9,10,300,8,4,2,12,3,3,16,7,350,30.93841731,230,0,0.934651441
9,10,300,8,4,2,12,3,3,16,7,350,32.06385781,217,0,0.934541842
9,10,300,8,4,2,12,3,3,16,7,350,28.08331612,228,0,0.931221898
9,10,300,8,4,2,12,3,3,16,7,350,24.04275085,217,0,0.924684602
9,10,300,8,4,2,12,3,3,16,7,350,29.16835133,226,0,0.924547796
9,10,300,8,4,2,12,3,3,16,7,350,26.27658102,228,0,0.922561441
9,10,300,8,4,2,12,3,3,16,7,350,27.83914651,229,0,0.922449164
9,10,300,8,4,2,12,3,3,16,7,350,21.06385207,220,0,0.921881332
9,10,300,8,4,2,12,3,3,16,7,350,20.30933979,223,0,0.921230303
9,10,300,8,4,2,12,3,3,16,7,350,31.50371498,217,0,0.920719149
9,10,300,8,4,2,12,3,3,16,7,350,33.19653516,217,0,0.918867182
9,10,300,8,4,2,12,3,3,16,7,350,28.07803087,217,0,0.917016289
9,10,300,8,4,2,12,3,3,16,7,350,30.58406281,228,0,0.917001846
9,10,300,8,4,2,12,3,3,16,7,350,30.44290811,228,0,0.915919285
9,10,300,8,4,2,12,3,3,16,7,350,25.71051107,229,0,0.915580001
9,10,300,8,4,2,12,3,3,16,7,350,28.23382249,226,0,0.915537293
9,10,300,8,4,2,12,3,3,16,7,350,26.10376972,221,0,0.914114516
9,10,300,8,4,2,12,3,3,16,7,350,29.85231616,224,0,0.911483655
9,10,300,8,4,2,12,3,3,16,7,350,31.91874653,228,0,0.908593975
9,10,300,8,4,2,12,3,3,16,7,350,17.54115361,229,0,0.907312772
9,10,300,8,4,2,12,3,3,16,7,350,31.1041786,224,0,0.903413085
9,10,300,8,4,2,12,3,3,16,7,350,29.98032462,218,0,0.902066157
9,10,300,8,4,2,12,3,3,16,7,350,26.62322203,227,0,0.901287079
9,10,300,8,4,2,12,3,3,16,7,350,23.93427787,223,0,0.899826484
9,10,300,8,4,2,12,3,3,16,7,350,23.37930771,229,0,0.892618294
9,10,300,8,4,2,12,3,3,16,7,350,25.67303817,228,0,0.888148446
9,10,300,8,4,2,12,3,3,16,7,350,25.50265678,221,0,0.886524922
9,10,300,8,4,2,12,3,3,16,7,350,29.12605793,225,0,0.885542806
9,10,300,8,4,2,12,3,3,16,7,350,27.93630984,218,0,0.885153655
9,10,300,8,4,2,12,3,3,16,7,350,27.26066658,218,0,0.878695191
9,10,300,8,4,2,12,3,3,16,7,350,30.22094396,218,0,0.873979871
9,10,300,8,4,2,12,3,3,16,7,350,29.42612805,220,0,0.872970287
9,10,300,8,4,2,12,3,3,16,7,350,28.653923,226,0,0.870077775
9,10,300,8,4,2,12,3,3,16,7,350,29.06594273,228,0,0.867835814
9,10,300,8,4,2,12,3,3,16,7,350,29.21437196,229,0,0.866092083
9,10,300,8,4,2,12,3,3,16,7,350,28.97738385,230,0,0.865007404
9,10,300,8,4,2,12,3,3,16,7,350,27.06041724,228,0,0.860732599
9,10,300,8,4,2,12,3,3,16,7,350,30.58372555,230,0,0.859893278
9,10,300,8,4,2,12,3,3,16,7,350,23.08719959,217,0,0.859248313
9,10,300,8,4,2,12,3,3,16,7,350,24.9082163,215,0,0.857407924
9,10,300,8,4,2,12,3,3,16,7,350,29.05546281,229,0,0.854391125
9,10,300,8,4,2,12,3,3,16,7,350,21.13475543,225,0,0.841774792
9,10,300,8,4,2,12,3,3,16,7,350,31.44537311,227,0,0.831808811
9,10,300,8,4,2,12,3,3,16,7,350,27.54821591,225,0,0.829224097
9,10,300,8,4,2,12,3,3,16,7,350,19.96224701,228,0,0.824869506
9,10,300,8,4,2,12,3,3,16,7,350,29.76451405,230,0,0.814038543
9,10,300,8,4,2,12,3,3,16,7,350,23.86997761,215,0,0.810226401
9,10,300,8,4,2,12,3,3,16,7,350,34.72477091,224,0,0.807173365
9,10,300,8,4,2,12,3,3,16,7,350,24.10758829,222,0,0.803539984
9,10,300,8,4,2,12,3,3,16,7,350,28.3436063,221,0,0.799633978
9,10,300,8,4,2,12,3,3,16,7,350,21.82734796,218,0,0.795664163
9,10,300,8,4,2,12,3,3,16,7,350,27.59456228,215,0,0.792831138
9,10,300,8,4,2,12,3,3,16,7,350,33.3421122,230,0,0.784853973
9,10,300,8,4,2,12,3,3,16,7,350,32.4315719,225,0,0.783189796
9,10,300,8,4,2,12,3,3,16,7,350,24.88347817,219,0,0.780434368
9,10,300,8,4,2,12,3,3,16,7,350,31.00018797,232,0,0.780097744
9,10,300,8,4,2,12,3,3,16,7,350,21.39234267,213,0,0.775053508
9,10,300,8,4,2,12,3,3,16,7,350,27.82103357,226,0,0.774044349
9,10,300,8,4,2,12,3,3,16,7,350,26.51342249,230,0,0.772943082
9,10,300,8,4,2,12,3,3,16,7,350,30.05553841,216,0,0.766905221
9,10,300,8,4,2,12,3,3,16,7,350,29.71043143,228,0,0.760135045
9,10,300,8,4,2,12,3,3,16,7,350,32.66616094,230,0,0.757669199
9,10,300,8,4,2,12,3,3,16,7,350,21.98960288,230,0,0.755028236
9,10,300,8,4,2,12,3,3,16,7,350,32.49900744,231,0,0.719390947
9,10,300,8,4,2,12,3,3,16,7,350,28.0724304,214,0,0.718666191
9,10,300,8,4,2,12,3,3,16,7,350,30.75527459,216,0,0.710365691
9,10,300,8,4,2,12,3,3,16,7,350,24.33397361,221,0,0.69352523
9,10,300,8,4,2,12,3,3,16,7,350,28.71878254,219,0,0.681673907
9,10,300,8,4,2,12,3,3,16,7,350,22.02038918,222,0,0.664362324
9,10,300,8,4,2,12,3,3,16,7,350,27.81349206,220,0,0.653447239
9,10,300,8,4,2,12,3,3,16,7,350,27.05686547,211,0,0.653442739
9,10,300,8,4,2,12,3,3,16,7,350,24.45359435,216,0,0.653026098
9,10,300,8,4,2,12,3,3,16,7,350,25.24122138,215,0,0.649018393
9,10,300,8,4,2,12,3,3,16,7,350,29.83156798,211,0,0.638634239
