sma_slow,sma_mid,sma_fast,atr,lowside,highside,rsi_filter,k_period,d_period,rsi_period,stoch_period,sma_filter,Drawd,Total trade,PnL,SQN
9,10,300,8,4,2,12,3,3,16,7,350,26.79658522,218.5,0,1.2306721
9,10,300,8,4,2,12,3,3,16,7,350,26.79658522,218.5,0,1.2306721
9,10,300,8,4,2,12,3,3,16,7,350,26.79658522,218.5,0,1.2306721
9,10,300,8,4,2,12,3,3,16,7,350,26.79658522,218.5,0,1.2306721
9,10,300,8,4,2,12,3,3,16,7,350,26.79658522,218.5,0,1.2306721
9,10,300,8,4,2,12,3,3,16,7,350,26.79658522,218.5,0,1.2306721
9,10,300,8,4,2,12,3,3,16,7,350,26.79658522,218.5,0,1.2306721
9,10,300,8,4,2,12,3,3,16,7,350,25.53741229,236.5,0,1.061060979
9,10,300,8,4,2,12,3,3,16,7,350,25.53741229,236.5,0,1.061060979
9,10,300,8,4,2,12,3,3,16,7,350,25.53741229,236.5,0,1.061060979
9,10,300,8,4,2,12,3,3,16,7,350,25.53741229,236.5,0,1.061060979
9,10,300,8,4,2,12,3,3,16,7,350,25.53741229,236.5,0,1.061060979
9,10,300,8,4,2,12,3,3,16,7,350,25.53741229,236.5,0,1.061060979
9,10,300,8,4,2,12,3,3,16,7,350,25.53741229,236.5,0,1.061060979
9,10,300,8,4,2,12,3,3,16,7,350,26.44215523,236.5,0,1.047493362
9,10,300,8,4,2,12,3,3,16,7,350,26.44215523,236.5,0,1.047493362
9,10,300,8,4,2,12,3,3,16,7,350,26.44215523,236.5,0,1.047493362
9,10,300,8,4,2,12,3,3,16,7,350,26.44215523,236.5,0,1.047493362
9,10,300,8,4,2,12,3,3,16,7,350,26.44215523,236.5,0,1.047493362
9,10,300,8,4,2,12,3,3,16,7,350,26.44215523,236.5,0,1.047493362
9,10,300,8,4,2,12,3,3,16,7,350,26.44215523,236.5,0,1.047493362
9,10,300,8,4,2,12,3,3,16,7,350,28.39173505,236.5,0,1.036081694
9,10,300,8,4,2,12,3,3,16,7,350,28.39173505,236.5,0,1.036081694
9,10,300,8,4,2,12,3,3,16,7,350,28.39173505,236.5,0,1.036081694
9,10,300,8,4,2,12,3,3,16,7,350,28.39173505,236.5,0,1.036081694
9,10,300,8,4,2,12,3,3,16,7,350,28.39173505,236.5,0,1.036081694
9,10,300,8,4,2,12,3,3,16,7,350,28.39173505,236.5,0,1.036081694
9,10,300,8,4,2,12,3,3,16,7,350,28.39173505,236.5,0,1.036081694
9,10,300,8,4,2,12,3,3,16,7,350,27.40406451,236.5,0,1.027841057
9,10,300,8,4,2,12,3,3,16,7,350,27.40406451,236.5,0,1.027841057
9,10,300,8,4,2,12,3,3,16,7,350,27.40406451,236.5,0,1.027841057
9,10,300,8,4,2,12,3,3,16,7,350,27.40406451,236.5,0,1.027841057
9,10,300,8,4,2,12,3,3,16,7,350,27.40406451,236.5,0,1.027841057
9,10,300,8,4,2,12,3,3,16,7,350,27.40406451,236.5,0,1.027841057
9,10,300,8,4,2,12,3,3,16,7,350,27.40406451,236.5,0,1.027841057
9,10,300,8,4,2,12,3,3,16,7,350,29.63196941,235.5,0,1.026555247
9,10,300,8,4,2,12,3,3,16,7,350,29.63196941,235.5,0,1.026555247
9,10,300,8,4,2,12,3,3,16,7,350,29.63196941,235.5,0,1.026555247
9,10,300,8,4,2,12,3,3,16,7,350,29.63196941,235.5,0,1.026555247
9,10,300,8,4,2,12,3,3,16,7,350,29.63196941,235.5,0,1.026555247
9,10,300,8,4,2,12,3,3,16,7,350,29.63196941,235.5,0,1.026555247
9,10,300,8,4,2,12,3,3,16,7,350,29.63196941,235.5,0,1.026555247
9,10,300,8,4,2,12,3,3,16,7,350,29.63196941,235.5,0,1.015709806
9,10,300,8,4,2,12,3,3,16,7,350,29.63196941,235.5,0,1.015709806
9,10,300,8,4,2,12,3,3,16,7,350,29.63196941,235.5,0,1.015709806
9,10,300,8,4,2,12,3,3,16,7,350,29.63196941,235.5,0,1.015709806
9,10,300,8,4,2,12,3,3,16,7,350,29.63196941,235.5,0,1.015709806
9,10,300,8,4,2,12,3,3,16,7,350,29.63196941,235.5,0,1.015709806
9,10,300,8,4,2,12,3,3,16,7,350,29.63196941,235.5,0,1.015709806
9,10,300,8,4,2,12,3,3,16,7,350,27.40406451,236.5,0,1.004014774
9,10,300,8,4,2,12,3,3,16,7,350,27.40406451,236.5,0,1.004014774
9,10,300,8,4,2,12,3,3,16,7,350,27.40406451,236.5,0,1.004014774
9,10,300,8,4,2,12,3,3,16,7,350,27.40406451,236.5,0,1.004014774
9,10,300,8,4,2,12,3,3,16,7,350,27.40406451,236.5,0,1.004014774
9,10,300,8,4,2,12,3,3,16,7,350,27.40406451,236.5,0,1.004014774
9,10,300,8,4,2,12,3,3,16,7,350,27.40406451,236.5,0,1.004014774
9,10,300,8,4,2,12,3,3,16,7,350,29.37989069,236.5,0,0.998842419
9,10,300,8,4,2,12,3,3,16,7,350,29.37989069,236.5,0,0.998842419
9,10,300,8,4,2,12,3,3,16,7,350,29.37989069,236.5,0,0.998842419
9,10,300,8,4,2,12,3,3,16,7,350,29.37989069,236.5,0,0.998842419
9,10,300,8,4,2,12,3,3,16,7,350,29.37989069,236.5,0,0.998842419
9,10,300,8,4,2,12,3,3,16,7,350,29.37989069,236.5,0,0.998842419
9,10,300,8,4,2,12,3,3,16,7,350,29.37989069,236.5,0,0.998842419
9,10,300,8,4,2,12,3,3,16,7,350,29.37989069,236.5,0,0.993419092
9,10,300,8,4,2,12,3,3,16,7,350,29.37989069,236.5,0,0.993419092
9,10,300,8,4,2,12,3,3,16,7,350,29.37989069,236.5,0,0.993419092
9,10,300,8,4,2,12,3,3,16,7,350,29.37989069,236.5,0,0.993419092
9,10,300,8,4,2,12,3,3,16,7,350,29.37989069,236.5,0,0.993419092
9,10,300,8,4,2,12,3,3,16,7,350,29.37989069,236.5,0,0.993419092
9,10,300,8,4,2,12,3,3,16,7,350,29.37989069,236.5,0,0.993419092
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.992240652
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.992240652
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.992240652
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.992240652
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.992240652
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.992240652
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.992240652
9,10,300,8,4,2,12,3,3,16,7,350,28.84976181,236.5,0,0.992212887
9,10,300,8,4,2,12,3,3,16,7,350,28.84976181,236.5,0,0.992212887
9,10,300,8,4,2,12,3,3,16,7,350,28.84976181,236.5,0,0.992212887
9,10,300,8,4,2,12,3,3,16,7,350,28.84976181,236.5,0,0.992212887
9,10,300,8,4,2,12,3,3,16,7,350,28.84976181,236.5,0,0.992212887
9,10,300,8,4,2,12,3,3,16,7,350,28.84976181,236.5,0,0.992212887
9,10,300,8,4,2,12,3,3,16,7,350,28.84976181,236.5,0,0.992212887
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,236.5,0,0.988501408
9,10,300,8,4,2,12,3,3,16,7,350,29.9750819,236.5,0,0.97522493
9,10,300,8,4,2,12,3,3,16,7,350,29.9750819,236.5,0,0.97522493
9,10,300,8,4,2,12,3,3,16,7,350,29.9750819,236.5,0,0.97522493
9,10,300,8,4,2,12,3,3,16,7,350,29.9750819,236.5,0,0.97522493
9,10,300,8,4,2,12,3,3,16,7,350,29.9750819,236.5,0,0.97522493
9,10,300,8,4,2,12,3,3,16,7,350,29.9750819,236.5,0,0.97522493
9,10,300,8,4,2,12,3,3,16,7,350,29.9750819,236.5,0,0.97522493
9,10,300,8,4,2,12,3,3,16,7,350,31.17139724,233.5,0,0.966824289
9,10,300,8,4,2,12,3,3,16,7,350,31.17139724,233.5,0,0.966824289
9,10,300,8,4,2,12,3,3,16,7,350,31.17139724,233.5,0,0.966824289
9,10,300,8,4,2,12,3,3,16,7,350,31.17139724,233.5,0,0.966824289
9,10,300,8,4,2,12,3,3,16,7,350,31.17139724,233.5,0,0.966824289
9,10,300,8,4,2,12,3,3,16,7,350,31.17139724,233.5,0,0.966824289
9,10,300,8,4,2,12,3,3,16,7,350,31.17139724,233.5,0,0.966824289
9,10,300,8,4,2,12,3,3,16,7,350,31.20191631,234.5,0,0.960107013
9,10,300,8,4,2,12,3,3,16,7,350,31.20191631,234.5,0,0.960107013
9,10,300,8,4,2,12,3,3,16,7,350,31.20191631,234.5,0,0.960107013
9,10,300,8,4,2,12,3,3,16,7,350,31.20191631,234.5,0,0.960107013
9,10,300,8,4,2,12,3,3,16,7,350,31.20191631,234.5,0,0.960107013
9,10,300,8,4,2,12,3,3,16,7,350,31.20191631,234.5,0,0.960107013
9,10,300,8,4,2,12,3,3,16,7,350,31.20191631,234.5,0,0.960107013
7,8,550,5,3.4,2.1,16,3,3,11,15,200,25.53741229,30,0,0.815016283
7,8,550,5,3.4,2.1,16,3,3,11,15,250,25.53741229,30,0,0.815016283
7,8,550,5,3.4,2.1,16,3,3,11,15,300,25.53741229,30,0,0.815016283
7,8,550,5,3.4,2.1,16,3,3,11,15,350,25.53741229,30,0,0.815016283
7,8,550,5,3.4,2.1,16,3,3,11,15,400,25.53741229,30,0,0.815016283
7,8,550,5,3.4,2.1,16,3,3,11,15,450,25.53741229,30,0,0.815016283
7,8,550,5,3.4,2.1,16,3,3,11,15,500,25.53741229,30,0,0.815016283
7,8,550,5,3.4,2.1,15,3,3,11,15,200,26.44215523,25,0,0.736361655
7,8,550,5,3.4,2.1,15,3,3,11,15,250,26.44215523,25,0,0.736361655
7,8,550,5,3.4,2.1,15,3,3,11,15,300,26.44215523,25,0,0.736361655
7,8,550,5,3.4,2.1,15,3,3,11,15,350,26.44215523,25,0,0.736361655
7,8,550,5,3.4,2.1,15,3,3,11,15,400,26.44215523,25,0,0.736361655
7,8,550,5,3.4,2.1,15,3,3,11,15,450,26.44215523,25,0,0.736361655
7,8,550,5,3.4,2.1,15,3,3,11,15,500,26.44215523,25,0,0.736361655
7,8,550,5,3.4,2.1,14,3,3,11,15,200,27.40406451,22,0,0.43570965
7,8,550,5,3.4,2.1,14,3,3,11,15,250,27.40406451,22,0,0.43570965
7,8,550,5,3.4,2.1,14,3,3,11,15,300,27.40406451,22,0,0.43570965
7,8,550,5,3.4,2.1,14,3,3,11,15,350,27.40406451,22,0,0.43570965
7,8,550,5,3.4,2.1,14,3,3,11,15,400,27.40406451,22,0,0.43570965
7,8,550,5,3.4,2.1,14,3,3,11,15,450,27.40406451,22,0,0.43570965
7,8,550,5,3.4,2.1,14,3,3,11,15,500,27.40406451,22,0,0.43570965
7,8,550,5,3.4,2.1,13,3,3,11,15,200,27.40406451,20,0,0.202880479
7,8,550,5,3.4,2.1,13,3,3,11,15,250,27.40406451,20,0,0.202880479
7,8,550,5,3.4,2.1,13,3,3,11,15,300,27.40406451,20,0,0.202880479
7,8,550,5,3.4,2.1,13,3,3,11,15,350,27.40406451,20,0,0.202880479
7,8,550,5,3.4,2.1,13,3,3,11,15,400,27.40406451,20,0,0.202880479
7,8,550,5,3.4,2.1,13,3,3,11,15,450,27.40406451,20,0,0.202880479
7,8,550,5,3.4,2.1,13,3,3,11,15,500,27.40406451,20,0,0.202880479
7,8,550,5,3.4,2.1,4,3,3,11,15,200,29.04310367,0,0,0
7,8,550,5,3.4,2.1,4,3,3,11,15,250,29.04310367,0,0,0
7,8,550,5,3.4,2.1,4,3,3,11,15,300,29.04310367,0,0,0
7,8,550,5,3.4,2.1,4,3,3,11,15,350,29.04310367,0,0,0
7,8,550,5,3.4,2.1,4,3,3,11,15,400,29.04310367,0,0,0
7,8,550,5,3.4,2.1,4,3,3,11,15,450,29.04310367,0,0,0
7,8,550,5,3.4,2.1,4,3,3,11,15,500,29.04310367,0,0,0
7,8,550,5,3.4,2.1,5,3,3,11,15,200,29.04310367,0,0,0
7,8,550,5,3.4,2.1,5,3,3,11,15,250,29.04310367,0,0,0
7,8,550,5,3.4,2.1,5,3,3,11,15,300,29.04310367,0,0,0
7,8,550,5,3.4,2.1,5,3,3,11,15,350,29.04310367,0,0,0
7,8,550,5,3.4,2.1,5,3,3,11,15,400,29.04310367,0,0,0
7,8,550,5,3.4,2.1,5,3,3,11,15,450,29.04310367,0,0,0
7,8,550,5,3.4,2.1,5,3,3,11,15,500,29.04310367,0,0,0
7,8,550,5,3.4,2.1,6,3,3,11,15,200,29.04310367,0,0,0
7,8,550,5,3.4,2.1,6,3,3,11,15,250,29.04310367,0,0,0
7,8,550,5,3.4,2.1,6,3,3,11,15,300,29.04310367,0,0,0
7,8,550,5,3.4,2.1,6,3,3,11,15,350,29.04310367,0,0,0
7,8,550,5,3.4,2.1,6,3,3,11,15,400,29.04310367,0,0,0
