sma_fast,sma_mid,sma_slow,atr,lowside,highside,rsi_filter,k_period,d_period,rsi_period,stoch_period,sma_filter,Drawd,Total trade,PnL,SQN
8,9,302,8,4,2,12,3,3,16,7,350,49.83213427,234.5,0,0.968963903
8,9,298,8,4,2,12,3,3,16,7,350,49.83213427,234.5,0,0.953987207
8,9,299,8,4,2,12,3,3,16,7,350,49.83213427,234.5,0,0.953987207
8,9,300,8,4,2,12,3,3,16,7,350,49.83213427,234.5,0,0.953987207
8,9,301,8,4,2,12,3,3,16,7,350,49.83213427,234.5,0,0.953987207
7,8,298,8,4,2,12,3,3,16,7,350,50.22369294,234.5,0,0.900561702
9,10,300,8,4,2,12,3,3,16,7,350,49.83213427,237.5,0,0.883990035
9,10,300,8,4,2,12,3,3,16,7,350,50.22369294,237.5,0,0.876775512
9,10,300,8,4,2,12,3,3,16,7,350,50.22369294,237.5,0,0.876775512
9,10,300,8,4,2,12,3,3,16,7,350,50.22369294,237.5,0,0.876775512
9,10,300,8,4,2,12,3,3,16,7,350,50.22369294,237.5,0,0.876775512
9,10,300,8,4,2,12,3,3,16,7,350,50.22369294,237.5,0,0.876775512
9,10,300,8,4,2,12,3,3,16,7,350,50.22369294,237.5,0,0.876775512
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
9,10,300,8,4,2,12,3,3,16,7,350,29.04310367,237.5,0,0.868395676
