sma_slow,sma_mid,sma_fast,atr,lowside,highside,rsi_filter,k_period,d_period,rsi_period,stoch_period,sma_filter,Drawd,Total trade,PnL,SQN
1,8,550,5,3.4,2.1,1,3,3,11,15,1600,0.0,0.0,0.0,0
3,8,550,5,3.4,2.1,1,3,3,11,15,1600,6.990311022489229,36.5,0.0,-0.49826407538364864
5,8,550,5,3.4,2.1,1,3,3,11,15,1600,7.847362901520449,43.5,0.0,0.042149907766313305
7,8,550,5,3.4,2.1,1,3,3,11,15,1600,7.847362901520442,46.5,0.0,0.060330391515951085
9,8,550,5,3.4,2.1,1,3,3,11,15,1600,1.3097287338351855,2.0,0.0,-0.607305245127881
11,8,550,5,3.4,2.1,1,3,3,11,15,1600,0.0017171406509694533,1.0,0.0,0
13,8,550,5,3.4,2.1,1,3,3,11,15,1600,0.0,0.0,0.0,0
15,8,550,5,3.4,2.1,1,3,3,11,15,1600,0.059493910733296074,1.0,0.0,0
17,8,550,5,3.4,2.1,1,3,3,11,15,1600,0.059493910733296074,1.0,0.0,0
19,8,550,5,3.4,2.1,1,3,3,11,15,1600,0.059493910733296074,1.0,0.0,0
